time;watts
0;1,8
1;1,8
2;1,8
3;1,9
4;1,8
5;1,6
6;1,8
7;1,8
8;1,8
9;1,8
10;1,8
11;2,0
12;1,9
13;1,8
14;1,7
15;1,7
16;1,8
17;3,9
18;3,9
19;6,0
20;6,0
21;5,8
22;6,0
23;6,0
24;6,0
25;6,0
26;6,0
27;6,0
28;5,8
29;5,8
30;6,0
31;5,8
32;6,0
33;6,0
34;5,8
35;5,9
36;5,8
37;5,8
38;5,8
39;5,9
40;6,0
41;6,0
42;6,0
43;6,0
44;6,0
45;6,0
46;6,0
47;6,0
48;5,9
49;6,0
50;6,0
51;6,0
52;6,0
53;5,9
54;5,9
55;5,9
56;6,0
57;5,9
58;5,8
59;6,0
60;5,8
61;5,8
62;5,9
63;5,8
64;6,0
65;5,9
66;6,0
67;6,0
68;6,0
69;6,0
70;6,0
71;5,9
72;5,9
73;6,0
74;5,8
75;6,0
76;5,9
77;6,0
78;6,0
79;6,0
80;6,0
81;6,0
82;6,0
83;5,9
84;6,0
85;6,0
86;5,9
87;6,0
88;6,0
89;6,0
90;5,8
91;5,8
92;5,9
93;6,0
94;5,8
95;6,0
96;5,8
97;5,9
98;6,0
99;6,0
100;5,9
101;5,8
102;5,9
103;6,0
104;5,9
105;5,9
106;5,8
107;6,0
108;6,0
109;5,9
110;6,0
111;6,0
112;6,0
113;6,0
114;6,0
115;5,9
116;5,8
117;5,8
118;6,0
119;6,0
120;5,8
121;5,9
122;6,0
123;6,0
124;6,0
125;6,0
126;6,0
127;5,8
128;6,0
129;5,9
130;6,0
131;6,0
132;6,0
133;6,0
134;5,9
135;6,0
136;6,0
137;5,8
138;6,0
139;6,0
140;5,9
141;6,0
142;6,0
143;5,9
144;6,0
145;6,0
146;6,0
147;5,9
148;5,8
149;6,0
150;5,9
151;5,8
152;5,9
153;6,0
154;6,0
155;6,0
156;5,9
157;5,9
158;6,0
159;6,0
160;5,9
161;5,9
162;6,0
163;5,8
164;6,0
165;6,0
166;5,9
167;5,9
168;6,0
169;6,0
170;5,8
171;5,9
172;6,0
173;5,8
174;6,0
175;6,0
176;5,8
177;6,0
178;5,8
179;6,0
180;5,8
181;5,8
182;6,0
183;6,0
184;5,8
185;6,0
186;6,0
187;6,0
188;5,8
189;6,0
190;6,0
191;6,0
192;6,0
193;5,9
194;6,0
195;5,8
196;6,0
197;6,0
198;6,0
199;5,8
200;6,0
201;5,8
202;6,0
203;6,0
204;6,0
205;6,0
206;6,0
207;6,0
208;6,0
209;6,0
210;6,0
211;5,8
212;5,8
213;6,0
214;6,0
215;6,0
216;6,0
217;5,9
218;5,9
219;6,0
220;5,8
221;5,9
222;6,0
223;5,9
224;5,8
225;5,9
226;6,0
227;5,9
228;6,0
229;6,0
230;6,0
231;6,0
232;5,9
233;5,9
234;6,0
235;6,0
236;6,0
237;6,0
238;5,9
239;5,9
240;5,8
241;5,9
242;6,0
243;5,9
244;6,0
245;5,9
246;5,8
247;6,0
248;5,9
249;6,0
250;6,0
251;5,9
252;5,8
253;6,0
254;6,0
255;6,0
256;6,0
257;6,0
258;6,0
259;5,8
260;6,0
261;5,9
262;6,0
263;6,0
264;5,9
265;5,8
266;6,0
267;6,0
268;6,0
269;6,0
270;5,9
271;6,0
272;6,0
273;6,0
274;6,0
275;6,0
276;5,9
277;6,0
278;5,8
279;5,8
280;6,0
281;6,0
282;6,0
283;6,0
284;6,0
285;5,8
286;6,0
287;6,0
288;6,0
289;6,0
290;6,0
291;5,8
292;6,0
293;6,0
294;5,8
295;5,9
296;6,0
297;6,0
298;6,0
299;5,8
300;5,8
301;5,9
302;5,9
303;5,9
304;6,0
305;6,0
306;6,0
307;5,8
308;6,0
309;5,8
310;6,0
311;6,0
312;6,0
313;6,0
314;6,0
315;5,9
316;5,9
317;5,9
318;6,0
319;5,8
320;6,0
321;5,9
322;6,0
323;6,0
324;6,0
325;5,8
326;6,0
327;5,9
328;6,0
329;5,8
330;6,0
331;6,0
332;6,0
333;6,0
334;6,0
335;5,9
336;6,0
337;5,8
338;5,9
339;6,0
340;6,0
341;6,0
342;6,0
343;6,0
344;6,0
345;5,8
346;6,0
347;6,0
348;5,8
349;6,0
350;5,8
351;5,9
352;6,0
353;6,0
354;6,0
355;6,0
356;6,0
357;6,0
358;5,8
359;6,0
360;5,9
361;6,0
362;5,8
363;6,0
364;5,9
365;5,9
366;6,0
367;6,0
368;6,0
369;5,9
370;5,9
371;5,8
372;5,9
373;5,8
374;6,0
375;6,0
376;5,9
377;6,0
378;6,0
379;5,8
380;5,9
381;6,0
382;5,8
383;6,0
384;6,0
385;6,0
386;5,8
387;6,0
388;5,8
389;5,8
390;5,9
391;5,9
392;6,0
393;6,0
394;6,0
395;6,0
396;5,8
397;5,9
398;5,8
399;6,0
400;6,0
401;6,0
402;6,0
403;5,8
404;6,0
405;6,0
406;5,8
407;6,0
408;5,8
409;6,0
410;6,0
411;5,8
412;6,0
413;6,0
414;6,0
415;6,0
416;5,8
417;6,0
418;6,0
419;6,0
420;5,9
421;5,9
422;5,9
423;5,8
424;6,0
425;6,0
426;6,0
427;6,0
428;6,0
429;5,9
430;5,9
431;6,0
432;6,0
433;5,9
434;6,0
435;6,0
436;6,0
437;5,8
438;6,0
439;5,8
440;6,0
441;6,0
442;6,0
443;5,9
444;5,8
445;5,8
446;5,8
447;6,0
448;5,8
449;5,9
450;6,0
451;5,8
452;6,0
453;6,0
454;5,8
455;5,8
456;5,8
457;6,0
458;6,0
459;6,0
460;6,0
461;6,0
462;5,9
463;6,0
464;6,0
465;6,0
466;5,9
467;5,8
468;6,0
469;6,0
470;5,8
471;5,9
472;6,0
473;6,0
474;6,0
475;5,9
476;5,9
477;5,8
478;6,0
479;5,8
480;6,0
481;6,0
482;6,0
483;5,8
484;6,0
485;5,9
486;6,0
487;5,8
488;5,9
489;5,9
490;6,0
491;6,0
492;6,0
493;6,0
494;5,9
495;5,8
496;6,0
497;6,0
498;6,0
499;6,0
500;6,0
501;6,0
502;6,0
503;6,0
504;5,9
505;5,9
506;5,9
507;6,0
508;5,9
509;6,0
510;5,9
511;6,0
512;5,8
513;6,0
514;6,0
515;5,9
516;6,0
517;6,0
518;5,8
519;5,8
520;5,8
521;6,0
522;6,0
523;5,8
524;6,0
525;5,8
526;6,0
527;6,0
528;6,0
529;6,0
530;5,9
531;5,8
532;6,0
533;6,0
534;6,0
535;5,9
536;5,8
537;5,8
538;6,0
539;6,0
540;6,0
541;6,0
542;6,0
543;6,0
544;5,8
545;5,8
546;5,8
547;6,0
548;6,0
549;6,0
550;5,9
551;5,9
552;6,0
553;5,8
554;5,9
555;5,9
556;6,0
557;6,0
558;5,9
559;6,0
560;5,8
561;6,0
562;5,8
563;6,0
564;6,0
565;5,9
566;6,0
567;5,9
568;6,0
569;5,8
570;5,8
571;6,0
572;6,0
573;6,0
574;6,0
575;5,8
576;5,8
577;6,0
578;6,0
579;5,9
580;6,0
581;5,8
582;6,0
583;6,0
584;6,0
585;6,0
586;5,9
587;5,9
588;6,0
589;6,0
590;6,0
591;6,0
592;6,0
593;5,8
594;6,0
595;5,8
596;6,0
597;6,0
598;6,0
599;6,0
600;6,0
601;5,8
602;6,0
603;5,8
604;5,9
605;5,8
606;6,0
607;5,9
608;6,0
609;6,0
610;5,9
611;6,0
612;5,8
613;6,0
614;5,8
615;6,0
616;5,9
617;6,0
618;6,0
619;6,0
620;6,0
621;5,6
622;4,1
623;1,8
624;1,8
625;1,9
626;1,6
627;1,8
628;2,0
629;1,8
630;1,8
631;1,9
632;1,8
633;1,9
634;1,8
635;1,8
636;1,7
637;1,8
638;2,0
639;1,8
640;1,8
